0
1 53865
2 5160 37674 10318 16079 11891 46388 15518 52349 37630 38111
3 10198
4 44374 9350 16906 26638 21721 281 4891 8197 16902 13222 552 22825 1707 46767 34163 54583 10937 12987 43710 26431 27097 33988 44358 1271 48588 59854 59988 23822 15190 42839 28121 48731 57949 28894 2784 31535 5604 36326 12906 2157 13171 57333 50679 14180 15099
5 29834 13072 2066 12078 30107 7069 57234 33959 32298 20398 18489 10948 54469 12749 45394 55004 16989 28003 47333 28264 16362 29804 16365 8316
6 14083 16906 4620 16525 3032 21123 54549 55838 32423 40237 47280 55347 37022 58424 52538 14168 7001 57949 52062 41444 14821 12781 25071 21110 10622
7
8 18561 13956 31958 34697 14859 54285 9389 13072 32278 44184 35245 23194 56730 18725 21287 42470 20778 23339 59181 942 55133 45619 10676 45878 38111 17632 5827 39750 48970 34530 13709 41042 51411 20438 21079 35545 21722 37339 2042 30431 23776 24033 46818 8547 16100 28389 24806 8807 55022 50170 42739 28788 27509 28842 24952 6138 52347 54524 19837
9 54563 13927 19660 19308 45485 30414 37208 49620 16174 50934 47128 16893 49183
10 45633 55266 30078 58793 49165 1838 59121 7347 5429 819 9883 2270
11 42428
12 13410 59963 47716 6437 17926 43752 24970 41250 16402 47906 52859 58047
13
14 56856 54865 29836 59182 40824 10382 27640 40539 36957
15
16 8816 55293
17 1536 21733 5035 19884 1654 5839 21366 34583 42746 55973
18 44850 47722
19
20 43701
21 49959
22 32504
23 31489 7555 10143 3141 36646 2567 21288 7777 20778 21159 460 8913 1131 10804 51766 25303 56730 8219 1020 13498 19711
24 2304 54242 2118 58219 2776 44258 27375 51504 28337 34996 10134 33015 14520 27771
25 15421
26 59963 26369 59140 10757 32904 31123 57433 4382 8994 49316 14501 59303 8361 54061 17975 7994 10299 45633 17474 27595 16973 45527 16729 53338 1466 8379 14052 59754 49772 50291
27 34113 7618 15243 3558 51878 54503 37481 43338 1227 15372 22701 30830 35920 14162 55221 19259 30546 10078
28 12619 34318 24240 3414 42935 44282 188 30845
29 18178 22214 14193 25290 26060 13393 36564 42430 33151
30 41250 6436 18725 59303 21288 25337 57645 28174 9649 32626 19251 58709 24761 57528 54137 14650 10523 24794 30942
31 53280 15528 55133 43571 51764 19485 4446 41503
32
33 59886
34 54076
35 26369 54884 50565 57352 6729 35501 26190 50962 47955 21110 1143 5604 45412 10299 4286
36 715 51878 425 19403 43470 32945 22835 33812 11337 44951 23608 23385 798
37 53312 17473 16906 23339 42861 24398 29525 35739 5468
38
39 38262 28935 31752 36361 28554 24463 5649 27154 21271 34628 30810 38815 23339 40173 4277 9302 21184 4676 50245 40393 33866 23501 27598 51798 49112 28634 35936 43617 52403 16745 30443 3948 58861 1776 47094 12407 27391
40 59458 41083 16644 46630 124 56458 23919 33489 3923 58806 12920 42819 45179 956 38867 59711
41 30773
42 8460 41069
43 29826 8451 32004 24839 47499 29186 41743 2576 28054 23580 798 54433 23461 19719 40240 47283 27828 23735 44344 57785 7483 33601 34113 6851 32964 16837 1227 45906 471 21348 42845 6880 50832 45412 57317 15078 34391 8043 13549 47472 37362 16632 21883 54012
44 52106
45 16644 56843 49677 58905 3101 58782 6437 46630 15527 33064 1195 33716 4414 59458 25611 36804 59856 46162 3923 17877 41069 1774 38867 12920 6138 51453
46 35146 51380
47 32896 44035 10757 40198 29833 54799 45123 58094 58006 58905 44825 7068 19234 6437 29862 26606 15274 1195 12334 54495 20668 27840 56130 42819 53445 5958 41250 15957 37718 38111 13410 5230 56047 47729 39391 2046
48 51151
49 31360 23936 18692 7301 32010 59787 37260 57101 59153 56730 42022 58536 17208 32954 57663 19011 11461 26056 38028 58454 47959 38622 45283 52006 28774 21484 2418 26867 23291
